Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Peptostreptococcaceae_noname_unclassified	Multiple	1	0	1	0	0	7	0.5257411100484539	0.021	Alouatta:Gorilla
Peptostreptococcus_stomatis	Multiple	0	0	0	1	1	15	0.8344165272746575	0.001	Homo:Pan
Polaromonas_unclassified	Multiple	1	0	0	1	0	8	0.8001995436337868	0.001	Alouatta:Homo
Porphyromonas_catoniae	Single	0	0	0	1	0	4	0.8377990722536681	0.001	Homo
Porphyromonas_endodontalis	Multiple	0	0	0	1	1	15	0.7562574148416786	0.001	Homo:Pan
Porphyromonas_gingivalis	Multiple	0	0	0	1	1	15	0.9368209885407947	0.001	Homo:Pan
Porphyromonas_gulae	Single	1	0	0	0	0	1	0.6323456043961511	0.001	Alouatta
Prevotella_baroniae	Multiple	0	0	1	1	0	13	0.5717718748968657	0.027	Gorilla:Homo
Prevotella_buccae	Single	0	0	0	1	0	4	0.6381857501727041	0.02	Homo
Prevotella_dentalis	Multiple	0	0	0	1	1	15	0.5830022689350356	0.024	Homo:Pan
Prevotella_intermedia	Multiple	0	0	0	1	1	15	0.6763464036750393	0.009	Homo:Pan
Prevotella_loescheii	Single	0	0	0	1	0	4	0.9150130255210808	0.001	Homo
Prevotella_maculosa	Multiple	1	0	0	1	0	8	0.7715167498104596	0.002	Alouatta:Homo
Prevotella_melaninogenica	Single	0	0	0	1	0	4	0.5198752449100363	0.034	Homo
Prevotella_micans	Single	0	0	0	1	0	4	0.7161953307545434	0.005	Homo
Prevotella_nigrescens	Single	0	0	0	1	0	4	0.46499055497527714	0.041	Homo
Prevotella_oralis	Multiple	1	0	0	1	0	8	0.6172133998483676	0.015	Alouatta:Homo
Prevotella_oris	Single	0	0	0	1	0	4	0.5452497568062706	0.03	Homo
Prevotella_pleuritidis	Multiple	0	0	0	1	1	15	0.640851647702002	0.04	Homo:Pan
Prevotella_saccharolytica	Single	0	0	0	1	0	4	0.91285251420913	0.001	Homo
Propionibacterium_propionicum	Multiple	1	0	1	1	1	29	0.9691555512958763	0.001	Alouatta:Gorilla:Homo:Pan
Pseudomonas_unclassified	Multiple	1	0	1	0	0	7	0.6210395763139459	0.034	Alouatta:Gorilla
Pseudoramibacter_alactolyticus	Multiple	0	0	0	1	1	15	0.8826422339232332	0.001	Homo:Pan
Pyramidobacter_piscolens	Single	0	0	0	0	1	5	0.952006687965285	0.001	Pan
Ralstonia_unclassified	Single	0	1	0	0	0	2	0.5345224838248488	0.018	Control
Riemerella_unclassified	Multiple	1	0	0	1	0	8	0.8451542547285166	0.002	Alouatta:Homo
Rothia_aeria	Single	0	0	0	1	0	4	0.8510681798462812	0.001	Homo
Rothia_dentocariosa	Multiple	0	0	1	1	0	13	0.8546430691664025	0.002	Gorilla:Homo
Rothia_mucilaginosa	Single	0	0	0	1	0	4	0.7344456538927562	0.001	Homo
Rothia_unclassified	Multiple	1	0	1	0	0	7	0.9975000453533391	0.001	Alouatta:Gorilla
Saccharopolyspora_unclassified	Multiple	1	0	0	0	1	9	0.7183021633961756	0.002	Alouatta:Pan
Scardovia_wiggsiae	Single	1	0	0	0	0	1	0.6324555320336759	0.001	Alouatta
Selenomonas_artemidis	Multiple	1	0	0	1	0	8	0.7071067811865476	0.004	Alouatta:Homo
Selenomonas_flueggei	Single	0	0	0	1	0	4	0.5198752449100363	0.031	Homo
Selenomonas_infelix	Single	0	0	0	1	0	4	0.86991767240168	0.001	Homo
Selenomonas_noxia	Multiple	0	0	1	1	0	13	0.8951461689055049	0.001	Gorilla:Homo
Selenomonas_sputigena	Single	0	0	0	1	0	4	0.8219949365267865	0.001	Homo
Slackia_exigua	Multiple	0	0	1	1	1	25	0.8519427513705973	0.001	Gorilla:Homo:Pan
Slackia_unclassified	Multiple	0	0	1	1	1	25	0.9069623173877128	0.001	Gorilla:Homo:Pan
Solobacterium_moorei	Multiple	1	0	0	1	0	8	0.7156371819520088	0.005	Alouatta:Homo
Sphingobacterium_unclassified	Single	1	0	0	0	0	1	0.8564016094133605	0.001	Alouatta
Sphingobium_unclassified	Single	0	0	1	0	0	3	0.44721359549995793	0.009	Gorilla
Staphylococcus_equorum	Single	0	0	1	0	0	3	0.44721359549995793	0.017	Gorilla
