Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Streptococcus massiliensis	Single	1	0	0	0	0	1	0.9996674647044562	0.001	Alouatta
Streptococcus merionis	Single	1	0	0	0	0	1	0.8944271909999159	0.001	Alouatta
Streptococcus mitis	Multiple	1	0	0	1	0	8	0.5773502691896257	0.034	Alouatta:Homo
Streptococcus mutans	Multiple	1	0	1	0	1	20	0.73149243081017	0.005	Alouatta:Gorilla:Pan
Streptococcus oralis	Multiple	1	0	0	1	0	8	0.9318142572463864	0.001	Alouatta:Homo
Streptococcus ovis	Multiple	1	0	0	0	1	9	0.5773502691896257	0.014	Alouatta:Pan
Streptococcus parasanguinis	Single	1	0	0	0	0	1	0.9889663114542944	0.001	Alouatta
Streptococcus pasteurianus	Single	1	0	0	0	0	1	0.9999625984949803	0.001	Alouatta
Streptococcus pneumoniae	Single	1	0	0	0	0	1	0.9919115774891702	0.001	Alouatta
Streptococcus pseudopneumoniae	Single	1	0	0	0	0	1	0.7024809616331722	0.002	Alouatta
Streptococcus pyogenes	Single	1	0	0	0	0	1	0.8071239519664439	0.001	Alouatta
Streptococcus salivarius	Multiple	1	0	0	1	0	8	0.6602252917735247	0.012	Alouatta:Homo
Streptococcus sanguinis	Multiple	1	0	0	1	0	8	0.9835063557588702	0.001	Alouatta:Homo
Streptococcus sobrinus	Single	1	0	0	0	0	1	0.9502058359948506	0.001	Alouatta
Streptococcus sp. DD04	Multiple	1	0	0	1	0	8	0.7963228933802395	0.002	Alouatta:Homo
Streptococcus sp. DD10	Single	1	0	0	0	0	1	0.8944271909999159	0.001	Alouatta
Streptococcus sp. DD12	Multiple	1	0	1	0	0	7	0.6476866783571514	0.007	Alouatta:Gorilla
Streptococcus sp. DD13	Multiple	1	0	1	0	0	7	0.5345224838248488	0.013	Alouatta:Gorilla
Streptococcus sp. HMSC071D03	Single	1	0	0	0	0	1	0.6324555320336759	0.003	Alouatta
Streptococcus sp. HMSC072G04	Single	1	0	0	0	0	1	0.6324555320336759	0.003	Alouatta
Streptococcus suis	Single	1	0	0	0	0	1	0.9820414853022361	0.001	Alouatta
Streptococcus thermophilus	Single	1	0	0	0	0	1	0.7745966692414834	0.001	Alouatta
Streptomyces sp. JV178	Single	0	1	0	0	0	2	0.6311644392772183	0.035	Control
Streptomyces sp. TP A0875	Single	1	0	0	0	0	1	0.44721359549995793	0.049	Alouatta
Tannerella forsythia	Multiple	0	0	1	1	1	25	0.882925101798881	0.005	Gorilla:Homo:Pan
Tannerella sp. oral taxon HOT 286	Multiple	0	0	0	1	1	15	0.921616094720422	0.001	Homo:Pan
Tessaracoccus sp. T2 5 30	Single	1	0	0	0	0	1	0.6324555320336759	0.002	Alouatta
Thermoplasmatales archaeon BRNA1	Single	0	0	0	0	1	5	0.9255694217595059	0.001	Pan
Treponema denticola	Multiple	0	0	0	1	1	15	0.8832610780811856	0.002	Homo:Pan
Treponema lecithinolyticum	Multiple	0	0	1	1	1	25	0.6780675425221621	0.021	Gorilla:Homo:Pan
Treponema maltophilum	Multiple	0	0	0	1	1	15	0.9032726650448617	0.001	Homo:Pan
Treponema putidum	Single	0	0	0	0	1	5	0.8320342167046557	0.001	Pan
Treponema socranskii	Multiple	1	0	1	1	1	29	0.8737944524454251	0.001	Alouatta:Gorilla:Homo:Pan
Veillonella atypica	Single	0	0	1	0	0	3	0.6666666666666666	0.001	Gorilla
Veillonella dispar	Single	0	0	1	0	0	3	0.6666666666666666	0.001	Gorilla
Veillonella rodentium	Multiple	1	0	1	0	0	7	0.6517276890338741	0.004	Alouatta:Gorilla
Veillonella tobetsuensis	Single	0	0	1	0	0	3	0.6666666666666666	0.001	Gorilla
