"species"	"isolation_source"
"Streptococcus infantarius subsp. infantarius"	"oral"
"Streptococcus infantis"	"oral"
"Streptococcus intermedius"	"oral"
"Streptococcus mitis"	"oral"
"Streptococcus mitis bv. 2"	"oral"
"Streptococcus mutans"	"oral"
"Streptococcus oligofermentans"	"oral"
"Streptococcus oralis"	"oral"
"Streptococcus parasanguinis"	"oral"
"Streptococcus parasanguinis II"	"oral"
"Streptococcus peroris"	"oral"
"Streptococcus pneumoniae"	"oral"
"Streptococcus pyogenes"	"not_oral"
"Streptococcus salivarius"	"oral"
"Streptococcus sanguinis"	"oral"
"Streptococcus sinensis"	"oral"
"Streptococcus sobrinus"	"oral"
"Streptococcus sp. oral taxon 056"	"oral"
"Streptococcus sp. oral taxon 058"	"oral"
"Streptococcus sp. oral taxon 066"	"oral"
"Streptococcus sp. oral taxon 070"	"oral"
"Streptococcus sp. oral taxon 071"	"oral"
"Streptococcus sp. oral taxon 431"	"oral"
"Streptococcus vestibularis"	"oral"
"Tannerella forsythia"	"oral"
"Tannerella sp. oral taxon 286"	"oral"
"Tannerella sp. oral taxon BU063"	"oral"
"Terrahaemophilus aromaticivorans"	"oral"
"TM7 [G-1] sp. oral taxon 952"	"oral"
"Treponema denticola"	"oral"
"Treponema lecithinolyticum"	"oral"
"Treponema maltophilum"	"oral"
"Treponema medium"	"oral"
"Treponema pallidum"	"oral"
"Treponema pallidum subsp. pallidum"	"oral"
"Treponema putidum"	"oral"
"Treponema socranskii"	"oral"
"Treponema socranskii subsp. paredis"	"oral"
"Treponema vincentii"	"oral"
"Turicella otitidis"	"oral"
"uncultured Bergeyella sp."	"oral"
"uncultured Chryseobacterium sp."	"oral"
"Variovorax paradoxus"	"oral"
"Veillonella atypica"	"oral"
"Veillonella denticariosi"	"oral"
"Veillonella dispar"	"oral"
"Veillonella parvula"	"oral"
"Veillonella sp. oral taxon 158"	"oral"
"Veillonella sp. oral taxon 780"	"oral"
"Yersinia pestis"	"not_oral"
"Actinomyces hongkongensis"	"not_oral"
"Tannerella sp. oral taxon HOT-286"	"oral"
"uncultured bacterium"	"not_oral"
"[Haemophilus] ducreyi"	"not_oral"
"Acidobacteria bacterium DSM 100886"	"not_oral"
"Actinomyces radingae"	"not_oral"
"Actinomyces sp. Chiba101"	"not_oral"
"Actinomyces sp. Marseille-P2985"	"not_stated"
"Actinomyces sp. pika_114"	"not_oral"
"Actinomyces succiniciruminis"	"not_oral"
"Actinopolyspora erythraea"	"not_oral"
"Aeromonas hydrophila"	"not_oral"
"Alicycliphilus denitrificans"	"not_oral"
"Alistipes shahii"	"not_oral"
"Bacteroides fragilis"	"not_oral"
"Bacteroides salanitronis"	"not_oral"
"Bordetella petrii"	"not_oral"
"Brachybacterium sp. P6-10-X1"	"not_oral"
"Bradyrhizobium erythrophlei"	"not_oral"
"Brevibacterium linens"	"not_oral"
"Brevibacterium siliguriense"	"not_oral"
"Burkholderia pseudomallei"	"not_oral"
"Candidatus Solibacter usitatus"	"not_oral"
"Caulobacteraceae bacterium OTSz_A_272"	"not_oral"
"Chlorobium limicola"	"not_oral"
"Citrobacter freundii"	"not_oral"
"Cloacibacillus porcorum"	"not_oral"
"Corynebacterium riegelii"	"not_oral"
"Corynebacterium variabile"	"not_oral"
"Desulfobulbus propionicus"	"not_oral"
"Fermentimonas caenicola"	"not_oral"
"Flavobacterium johnsoniae"	"not_oral"
"Fusobacterium sp. oral taxon 203"	"oral"
"Geobacter sulfurreducens"	"not_oral"
"Gordonia bronchialis"	"not_oral"
"Gordonia sp. QH-11"	"not_oral"
"Histophilus somni"	"not_oral"
"Jiangella alkaliphila"	"not_oral"
"Jiangella sp. DSM 45060"	"not_oral"
"Lawsonella clevelandensis"	"not_oral"
"Methylocaldum marinum"	"not_oral"
"Microbacterium paludicola"	"not_oral"
"Mycobacterium aurum"	"not_oral"
"Mycobacterium fortuitum"	"not_oral"
"Mycobacterium goodii"	"not_oral"
"Mycobacterium kansasii"	"not_oral"
"Mycobacterium phlei"	"not_oral"
"Mycobacterium rutilum"	"not_oral"
"Mycobacterium sinense"	"not_oral"
"Mycobacterium smegmatis"	"not_oral"
"Mycobacterium sp. JS623"	"not_oral"
"Mycobacterium sp. YC-RL4"	"not_oral"
"Mycobacterium terrae"	"not_oral"
"Mycobacterium thermoresistibile"	"not_oral"
"Neisseria sp. 10023"	"not_oral"
"Neisseria zoodegmatis"	"not_oral"
"Nitrobacter winogradskyi"	"not_oral"
"Nocardia brasiliensis"	"not_oral"
"Nocardia cyriacigeorgica"	"not_oral"
"Nocardia farcinica"	"not_oral"
"Rhodococcus opacus"	"not_oral"
"Rhodoplanes sp. Z2-YC6860"	"not_oral"
"Rhodopseudomonas palustris"	"not_oral"
"Riemerella anatipestifer"	"not_oral"
"Shewanella sp. FDAARGOS_354"	"not_stated"
"Sorangium cellulosum"	"not_oral"
"Steroidobacter denitrificans"	"not_oral"
"Streptobacillus moniliformis"	"not_oral"
"Syntrophus aciditrophicus"	"not_oral"
"Thermanaerovibrio acidaminovorans"	"not_oral"
"Treponema pedis"	"not_oral"
"Trueperella pyogenes"	"not_oral"
"Tsukamurella paurometabola"	"not_oral"
"Desulfovibrio piger"	"not_oral"
"Pelobacter acetylenicus"	"not_oral"
"Brevibacterium sandarakinum"	"not_oral"
"Enterobacter cloacae"	"oral"
"Kluyvera intermedia"	"not_oral"
"Acinetobacter lwoffii"	"not_oral"
"Pseudomonas putida"	"not_oral"
"Odoribacter splanchnicus"	"not_oral"
"Enterobacter asburiae"	"not_oral"
"Chryseobacterium gallinarum"	"not_oral"
"Morganella morganii"	"not_oral"
"Acinetobacter nosocomialis"	"not_oral"
"Acinetobacter guillouiae"	"not_oral"
"Acinetobacter junii"	"not_oral"
"Providencia rettgeri"	"not_oral"
"Oxalobacter formigenes"	"not_oral"
"Bacteroides dorei"	"not_oral"
"Rhodanobacter denitrificans"	"not_oral"
"Dyella thiooxydans"	"not_oral"
"Catenulispora acidiphila"	"not_oral"
"Vibrio cholerae"	"not_oral"
"Desulfurivibrio alkaliphilus"	"not_oral"
"Mobiluncus curtisii"	"not_oral"
"Treponema brennaborense"	"not_oral"
"Streptococcus troglodytae"	"oral"
"Pseudoxanthomonas suwonensis"	"not_oral"
"Capnocytophaga leadbetteri"	"oral"
"Capnocytophaga sp. ChDC OS43"	"oral"
"Streptococcus sp. NPS 308"	"not_oral"
"Neisseria sp. KEM232"	"not_stated"
"Streptococcus sp. oral taxon 064"	"oral"
"Selenomonas sp. oral taxon 920"	"oral"
