Binning Method	Database	Taxonomic Level	Decontam Method	Decontam Threshold	Contaminant	Genus	Species
megan	nt	genus	combined	0.99	Hordeum	Hordeum	NA
megan	nt	genus	combined	0.99	Hoyosella	Hoyosella	NA
megan	nt	genus	combined	0.99	Hungateiclostridium	Hungateiclostridium	NA
megan	nt	genus	combined	0.99	Hyalella	Hyalella	NA
megan	nt	genus	combined	0.99	Hydrogenophaga	Hydrogenophaga	NA
megan	nt	genus	combined	0.99	Hymenobacter	Hymenobacter	NA
megan	nt	genus	combined	0.99	Hymenolepis	Hymenolepis	NA
megan	nt	genus	combined	0.99	Hyphomicrobium	Hyphomicrobium	NA
megan	nt	genus	combined	0.99	Hyphopichia	Hyphopichia	NA
megan	nt	genus	combined	0.99	Hypocrella	Hypocrella	NA
megan	nt	genus	combined	0.99	Ictidomys	Ictidomys	NA
megan	nt	genus	combined	0.99	Ilumatobacter	Ilumatobacter	NA
megan	nt	genus	combined	0.99	Immundisolibacter	Immundisolibacter	NA
megan	nt	genus	combined	0.99	Intrasporangium	Intrasporangium	NA
megan	nt	genus	combined	0.99	Ipomoea	Ipomoea	NA
megan	nt	genus	combined	0.99	Isaria	Isaria	NA
megan	nt	genus	combined	0.99	Ixodes	Ixodes	NA
megan	nt	genus	combined	0.99	Janibacter	Janibacter	NA
megan	nt	genus	combined	0.99	Janthinobacterium	Janthinobacterium	NA
megan	nt	genus	combined	0.99	Jatrophihabitans	Jatrophihabitans	NA
megan	nt	genus	combined	0.99	Jeongeupia	Jeongeupia	NA
megan	nt	genus	combined	0.99	Jeotgalibaca	Jeotgalibaca	NA
megan	nt	genus	combined	0.99	Juglans	Juglans	NA
megan	nt	genus	combined	0.99	Ketogulonicigenium	Ketogulonicigenium	NA
megan	nt	genus	combined	0.99	Kibdelosporangium	Kibdelosporangium	NA
megan	nt	genus	combined	0.99	Kineococcus	Kineococcus	NA
megan	nt	genus	combined	0.99	Kitasatospora	Kitasatospora	NA
megan	nt	genus	combined	0.99	Klebsiella	Klebsiella	NA
megan	nt	genus	combined	0.99	Kluyvera	Kluyvera	NA
megan	nt	genus	combined	0.99	Komagataeibacter	Komagataeibacter	NA
megan	nt	genus	combined	0.99	Kribbella	Kribbella	NA
megan	nt	genus	combined	0.99	Kurthia	Kurthia	NA
megan	nt	genus	combined	0.99	Kutzneria	Kutzneria	NA
megan	nt	genus	combined	0.99	Kytococcus	Kytococcus	NA
megan	nt	genus	combined	0.99	Labilithrix	Labilithrix	NA
megan	nt	genus	combined	0.99	Labrenzia	Labrenzia	NA
megan	nt	genus	combined	0.99	Lactococcus	Lactococcus	NA
megan	nt	genus	combined	0.99	Lacunisphaera	Lacunisphaera	NA
megan	nt	genus	combined	0.99	Lagidium	Lagidium	NA
megan	nt	genus	combined	0.99	Lasthenia	Lasthenia	NA
megan	nt	genus	combined	0.99	Leclercia	Leclercia	NA
megan	nt	genus	combined	0.99	Leifsonia	Leifsonia	NA
megan	nt	genus	combined	0.99	Leishmania	Leishmania	NA
megan	nt	genus	combined	0.99	Leisingera	Leisingera	NA
megan	nt	genus	combined	0.99	Lelliottia	Lelliottia	NA
