File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
MTM011_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4775010	1528624	30523743	1517970	152	32.01300102	31.78988107
MTM012_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10623025	6369246	206876790	6286168	636	59.95698965	59.17493369
MTM013_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7105486	3472338	130371152	3441772	347	48.86840956	48.43823491
MTS001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	6540914	2879982	70430674	2851397	287	44.03026855	43.59325012
MTS002_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	6562562	2621205	63202437	2563617	262	39.94179407	39.06427094
MTS003_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7532301	4306570	126438122	3646831	430	57.17469336	48.41589575
OAK001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11211671	2352073	25200504	2339628	235	20.97879076	20.86779036
OAK002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14005970	6930329	107945812	6906661	693	49.48124978	49.3122647
OAK003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17189509	6838188	37935249	6825304	683	39.78117118	39.70621848
OAK004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	13488774	7357063	78268478	7283719	735	54.54211776	53.99837672
OAK005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	16940328	8772695	60954320	8756145	877	51.78586271	51.68816684
OME002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	13994463	4992433	73830156	4902651	499	35.67434492	35.03279118
OME003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	13956736	4022637	69108364	3942681	402	28.82219023	28.24930557
OME005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9470819	2747245	55978942	2700238	274	29.00747021	28.5111351
OME007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11490181	3716041	85329703	3675616	371	32.3410136	31.98919147
OME009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	7422246	2042599	40861134	1959738	204	27.51995824	26.4035711
PES001.B0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11872279	6448274	123367069	6379049	644	54.31370001	53.73061903
PYK001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15248245	4456215	49590814	4427771	445	29.22444517	29.03790567
PYK002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17218978	8193869	57409955	7627652	819	47.5862679	44.29793685
PYK003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14732223	5844550	44135858	5807581	584	39.67188115	39.42094143
PYK004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	16708305	9961602	89499548	9657881	996	59.6206617	57.80287707
PYK005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	21468513	8494380	58404240	8429414	849	39.56669006	39.26407945
SPM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4576676	3069818	81131771	3042822	306	67.07527472	66.48541431
SPM002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	2095474	1557863	75747778	1552717	155	74.34418179	74.0986049
SRR059389_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	45098888	43156364	1348615457	43130576	4315	95.69274524	95.63556423
SRR059425_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	36488576	24355197	532669015	24246706	2435	66.74745816	66.45012949
SRR059455_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	36349527	25692481	551541359	25626354	2569	70.6817478	70.49982796
SRR059917_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	41460716	36680439	1153253449	36606140	3668	88.47034624	88.29114287
SRR060358_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	37402539	34526271	1185129893	34463428	3452	92.30996591	92.1419479
SRR061192_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	21917339	18128617	297117443	18097637	1812	82.71358581	82.57223653
SRR061294_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10375487	8467152	108854884	8449194	846	81.60727299	81.43419196
SRR061320_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	23527394	19135363	295748717	19118870	1913	81.3322674	81.26216614
SRR061365_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	26907232	22726342	431685982	22711355	2272	84.46183539	84.40613661
SRR061562_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	32958887	27567659	459570633	27520758	2756	83.64256657	83.50026504
