Sample_Name	Extra_lib_2	Extra_lib_3	Extra_lib_4	Extra_lib_5	ERR_Accession	ERR_Accession_Extra_lib_2	ERR_Accession_Extra_lib_3	ERR_Accession_Extra_lib_4	ERR_Accession_Extra_lib_5	NonHuman_Reads_Lib_1	NonHuman_Reads_Lib_2	NonHuman_Reads_Lib_3	NonHuman_Reads_Lib_4	NonHuman_Reads_Lib_5	Final NonHuman Reads
MTS001.A0101	MTS001.A0101.170817	NA	NA	NA						2790920	3749994	0	0	0	6540914
MTS002.A0101	MTS002.A0101.170817	NA	NA	NA						2739465	3823097	0	0	0	6562562
MTS003.A0101	MTS003.A0101.170817	NA	NA	NA						2999010	4533291	0	0	0	7532301
OAK001.A0101	NA	NA	NA	NA						11211671	0	0	0	0	11211671
OAK002.A0101	NA	NA	NA	NA						14005970	0	0	0	0	14005970
OAK003.A0101	NA	NA	NA	NA						17189509	0	0	0	0	17189509
OAK004.A0101	NA	NA	NA	NA						13488774	0	0	0	0	13488774
OAK005.A0101	NA	NA	NA	NA						16940328	0	0	0	0	16940328
OME002.A0101	NA	NA	NA	NA						13994463	0	0	0	0	13994463
OME003.A0101	NA	NA	NA	NA						13956736	0	0	0	0	13956736
OME005.A0101	NA	NA	NA	NA						9470819	0	0	0	0	9470819
OME007.A0101	NA	NA	NA	NA						11490181	0	0	0	0	11490181
OME009.A0101	NA	NA	NA	NA						7422246	0	0	0	0	7422246
PES001.B0101	NA	NA	NA	NA						11872279	0	0	0	0	11872279
PYK001.A0101	NA	NA	NA	NA						15248245	0	0	0	0	15248245
PYK002.A0101	NA	NA	NA	NA						17218978	0	0	0	0	17218978
PYK003.A0101	NA	NA	NA	NA						14732223	0	0	0	0	14732223
PYK004.A0101	NA	NA	NA	NA						16708305	0	0	0	0	16708305
PYK005.A0101	NA	NA	NA	NA						21468513	0	0	0	0	21468513
SPM001.A0101	NA	NA	NA	NA						4576676	0	0	0	0	4576676
SPM002.A0101	NA	NA	NA	NA						2095474	0	0	0	0	2095474
TAF008.B0101	NA	NA	NA	NA						11524885	0	0	0	0	11524885
TAF016.B0101	NA	NA	NA	NA						4769590	0	0	0	0	4769590
TAF017.A0101	TAF017.C0101	TAF017.C0101.171215	TAF017.E0101	TAF017.E0101.171215						5574379	2729303	2748543	33035	34067	11119327
TAF018.A0101	TAF018.B0101	NA	NA	NA						8001251	6680529	0	0	0	14681780
