sample	Env	Description	Host_General	Host_Common	Age	EnvironmentalControl	ruralGut	sediment	skin	subPlaque	supPlaque	urbanGut	unknown	total_plaquegut	more_env
JAE006.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.039	0.0044	0.0416	0.8833	0	0.0317	0.92489999999999994	FALSE
JAE007.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.0011	0.0032	0.5707	0.4018	0	0.0232	0.9724999999999999	FALSE
JAE008.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	1e-4	0	0.1157	0.0024	0.6895	0.1706	0	0.0217	0.8601	FALSE
JAE009.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0.0013	0.0784	0	0.6108	0.2745	0.0025	0.0325	0.8890999999999999	FALSE
JAE010.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.0703	0	0.3404	0.5665	0	0.0228	0.9069	FALSE
JAE012.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.0401	0	0.6163	0.3346	0	0.009	0.9509	FALSE
JAE013.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.0514	0.0209	0.1464	0.7678	0	0.0135	0.9142	FALSE
JAE014.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0.0703	0.0277	0	0.8235	0	0	0.0785	0.8938	FALSE
JAE015.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0.1815	0	0	0.6397	0.0015	0	0.1773	0.8227	FALSE
JAE016.A0101	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0.0692	0.0486	0	0.796	0	0	0.0862	0.8652000000000001	FALSE
VLC001.A0101	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	7e-4	0.0433	0	0.9052	6e-4	0.02	0.0302	0.9265000000000001	FALSE
VLC002.A0101	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.1766	0.0079	0.6246	0.1517	0	0.0392	0.7763	FALSE
VLC003.A0101	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.1366	1e-4	0.4125	0.4368	0	0.014	0.8492999999999999	FALSE
VLC004.A0101	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	1e-4	0.051	0.0085	0.885	0.0233	0	0.0321	0.9084	FALSE
VLC005.A0101	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	1e-4	0	0.117	2e-4	0.6522	0.196	1e-4	0.0344	0.8483	FALSE
VLC008.A0101	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.0314	0	0.6752	0.2526	0	0.0408	0.9278	FALSE
VLC009.A0101	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.0074	0.0067	0.4363	0.5358	0	0.0138	0.9721000000000001	FALSE
VLC010.A0101	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo (Modern Human)	ModernDay	0	0	0.0454	0	0.2631	0.6674	0	0.0241	0.9305	FALSE
ElSidron1	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0	0.0022	0.2853	0	0.2761	0.0601	0.0938	0.2825	0.4322	FALSE
ElSidron2	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0	0.0013	0.2215	0.0019	0.1898	0.2189	0.2109	0.1557	0.6209	FALSE
FUM001.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0.0037	0.0131	0.3252	0.2808	0.0113	0.2139	0.016	0.136	0.2543	TRUE
FUM002.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0.0045	0.0033	0.3611	0.0115	0	0.4628	0.0527	0.1041	0.5188	FALSE
FUM003.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0	0	0.5649	0.2002	0	0.1147	0	0.1202	0.1147	TRUE
GDN001.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0.0059	0	0.0987	0.0122	0	0.2499	0.0416	0.5917	0.2915	TRUE
GOY005.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0	0	0.401	0.0555	0.231	0.1902	0	0.1223	0.4212	FALSE
