File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
GDC005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9931068	3750619	70562962	3731224	375	37.766522190765386	37.57122597489011
GDN001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	30835470	10964991	186519116	10847476	1096	35.559668784033455	35.17856546373381
GOY005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9163118	3379168	57992386	3358467	337	36.877927360533825	36.652010811167116
GOY006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3799236	1318948	19132481	1296885	131	34.71613766557276	34.135415646724766
GUE001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11156331	1175021	29937805	1159745	117	10.532324650460803	10.395397913525512
IBA001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12987664	4071661	69603537	4015846	407	31.35021817626326	30.920464218969627
IBA002_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	19022015	12975045	386724120	12896945	1297	68.21067589316905	67.80009899056435
JAE006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	87883942	75995601	1711027683	71826361	7599	86.47268120949786	81.72865186224806
JAE007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	66419551	58814890	1607679833	57257538	5881	88.55056849149733	86.20584923857736
JAE008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	65296039	48546073	652984566	43626335	4854	74.34765376809457	66.81314160572589
JAE009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	66062410	49340348	609989850	46844515	4934	74.68747809836184	70.90948543960174
JAE010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	60027336	50655258	818649439	49629901	5065	84.38698329041289	82.67883319026518
JAE012.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	62752277	51361110	739022626	51231136	5136	81.84740451728946	81.64028215263009
JAE013.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	38954329	33826282	837798635	33285883	3382	86.83574552137709	85.44848250370325
JAE014.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	68620482	42992719	511746101	40205127	4299	62.65289567625013	58.59056338310186
JAE015.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	57512281	38344245	330819599	37378426	3834	66.67140362594904	64.99207708350153
JAE016.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	94564553	58372353	468900994	54297871	5837	61.72751961297802	57.41884170911271
