Sample number,Sample Name,# reads after C&M prior mapping,# of Merged Reads,% Merged Reads,# reads not attempted to map,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 70/188,GDC005.A0101,23367609,1738651,7.440,21628958,4521355,824880,3696475,19.349,1.223,0.0565,3.9246,2.62,1.12,0.21,0.08,0.03,1407,3.8951053171585492,68.91,0.0373,0.0388,0.0294,0.0322,47.36,44.0,47.45
Sample 71/188,GDN001.A0101,28762576,2278624,7.922,26483952,85349,31449,53900,0.297,1.583,0.0011,0.0894,0.03,0.02,0.01,0.01,0.01,7,0.03210815378115758,30.32,0.0118,0.0086,0.0103,0.0082,60.83,71.0,46.95
Sample 72/188,GDN001.B0101,28377493,2533259,8.927,25844234,52873,4398,48475,0.186,1.091,0.0009,0.0543,0.04,0.04,0.01,0,0,22,0.0875128251554107,97.69,0.0163,0.0101,0.014,0.0093,57.24,60.0,47.57
Sample 73/188,GOY005.A0101,9303480,0,0.000,0,168228,3700,164528,1.808,1.022,0.0033,0.0657,0.32,0,0,0,0,78,0.2986903253062949,89.99,0.0179,0.0099,0.0119,0.0085,62.48,70.0,45.82
Sample 74/188,GOY006.A0101,5037448,0,0.000,0,1248614,25191,1223423,24.787,1.021,0.0274,0.2286,2.61,0.07,0.01,0.01,0,898,3.741746635282757,136.91,0.0078,0.0043,0.0035,0.0027,69.21,75.0,45.2
Sample 75/188,GUE001.A0101,19617360,1480088,7.545,18137272,806073,197851,608222,4.109,1.325,0.013,0.2818,0.42,0.34,0.2,0.14,0.08,510,2.028064457722252,156.38,0.006,0.0052,0.0056,0.0037,66.07,75.0,48.93
Sample 76/188,IBA001.A0101,7488347,540039,7.212,6948308,58795,674,58121,0.785,1.012,0.001,0.0587,0.05,0.04,0,0,0,14,0.042730400144848815,41.89,0.1227,0.0841,0.1018,0.076,54.34,52.0,45.08
Sample 77/188,IBA001.A0101.171215,16116487,1159525,7.195,14956962,129069,1453,127616,0.801,1.011,0.0022,0.1026,0.12,0.09,0,0,0,17,0.0538958295612288,24.12,0.1179,0.0862,0.1002,0.0778,54.2,52.0,44.96
Sample 78/188,IBA002.A0101,12787867,896749,7.012,11891118,41524,421,41103,0.325,1.010,0.0008,0.0452,0.04,0.03,0,0,0,31,0.11382702637455488,144.68,0.0274,0.0204,0.0229,0.018,59.3,61.0,46.19
Sample 79/188,IBA002.A0101.171215,22236087,1559145,7.012,20676942,71774,604,71170,0.323,1.008,0.0014,0.0639,0.07,0.06,0,0,0,57,0.19971030237189932,147.32,0.0245,0.0195,0.026,0.021,59.01,61.0,45.89
Sample 80/188,JAE006.A0101,132293746,8837172,6.680,123456574,802898,10531,792367,0.607,1.013,0.0178,0.2883,0.89,0.8,0.03,0.01,0,165,0.7055344317701732,39.7,0.0044,0.004,0.0059,0.0041,69.45,76.0,45.21
Sample 81/188,JAE007.A0101,101345945,6495135,6.409,94850810,224321,2859,221462,0.221,1.013,0.005,0.155,0.25,0.23,0.01,0,0,172,0.7248476069768846,146.37,0.0031,0.0034,0.0031,0.0027,69.28,76.0,44.75
Sample 82/188,JAE008.A0101,97377432,7165274,7.358,90212158,1775038,25518,1749520,1.823,1.015,0.0401,0.4594,1.97,1.81,0.07,0.04,0.01,741,3.198201460558875,79.79,0.0032,0.0031,0.0028,0.0021,70.96,76.0,42.76
