Sample_Name,Raw_Reads,Post_Clip_and_Merge,Percent_Merged_Content_Post_Clip_and_Merge,Mapped_Reads,Percent_Endogenous_DNA,Post_Duplicate_Removal_Reads,Cluster_Factor,X_Mean_Coverage,mtDNA_Reads,Median_Fragment_Length,GC_Content_Percent,Non_Human_Reads
MTM013.A0101.170817,9199902,4528441,96.5682008443966,430762,9.5123686054428,412099,1.04528766145999,0.0088,711,62,45.02,4097679
MTS001.A0101,3237389,3033020,NA,242100,7.98214321039756,220313,1.09889112308398,0.0043,95,65,45.84,2790920
MTS001.A0101.170817,8395494,4077565,91.5384304112871,327571,8.03349548075874,313554,1.04470362361826,0.0067,97,63,45.24,3749994
MTS002.A0101,4366891,4300564,NA,1561099,36.2998667151564,1389807,1.12324876763464,0.0275,292,64,48.92,2739465
MTS002.A0101.170817,11640082,5929834,92.8296137800822,2106737,35.5277567635114,2016406,1.04479802182695,0.0427,335,62,48.1,3823097
MTS003.A0101,3209482,3066780,NA,67770,2.20980963746992,62418,1.08574449677978,0.0012,10,63,45.19,2999010
MTS003.A0101.170817,9409960,4647213,92.4324966383077,113922,2.45140474516662,102848,1.1076734598631,0.0021,19,60,45.47,4533291
OAK001.A0101,36704098,11356072,92.3344357098123,144401,1.2715752418618,36556,3.95013130539446,0.0006,33,46,49.67,11211671
OAK002.A0101,34800808,14080724,97.6015721918845,74754,0.530895996541087,29705,2.51654603602087,0.0004,8,37,51.01,14005970
OAK003.A0101,37603366,17248930,95.8249700126327,59421,0.344490933640522,12893,4.60877995811681,0.0002,4,41,65.01,17189509
OAK004.A0101,34034746,14644010,95.7838051189531,1155236,7.88879548702849,1070633,1.07902147608004,0.0269,993,76,44.3,13488774
OAK005.A0101,37371876,17004996,95.9307076579142,64668,0.380288239997234,14594,4.43113608332191,0.0002,18,43,64.43,16940328
OFN001.A0101,27683114,12573910,93.1471992403318,173220,1.3776144413313,134797,1.28504343568477,0.003,111,70,46.33,12400690
OME002.A0101,27514202,14159411,85.3309999971044,164948,1.16493546235786,137588,1.19885455126901,0.0023,7,47,42.95,13994463
OME003.A0101,26772056,14096803,83.1496332891933,140067,0.993608267065944,98827,1.41729486881115,0.0016,1,46,43.88,13956736
OME005.A0101,17388136,9532562,78.1906689932885,61743,0.647706251477829,45611,1.35368661068602,0.0008,6,48,45.65,9470819
OME007.A0101,21148044,11587294,77.4621149683438,97113,0.838099041933345,78504,1.23704524610211,0.0013,6,45.5,44.05,11490181
OME009.A0101,13515446,7487708,76.446704385374,65462,0.874259519735545,53910,1.21428306436654,0.001,1,51,44.46,7422246
PES001.B0101,12350535,11916500,NA,44221,0.371090504762304,39855,1.10954710826747,0.0008,36,75,47.32,11872279
PLV001.A0101,25218370,11670577,89.7584412493059,239196,2.04956447311902,187939,1.27273210988672,0.0042,185,71,46.26,11431381
PYK001.A0101,32880996,15328223,93.7929138948461,79978,0.521769548890305,41357,1.9338443310685,0.0006,8,42,50.32,15248245
PYK002.A0101,37823082,17328324,97.4261330755358,109346,0.631024673823043,64678,1.69062123133059,0.001,32,44,47.68,17218978
PYK003.A0101,30804596,14780665,94.8385678181597,48442,0.32773897520849,11470,4.22336530078466,0.0002,7,43,65.64,14732223
PYK004.A0101,34834172,16765146,95.9673837615253,56841,0.339042678184848,11755,4.83547426626967,0.0002,4,45,71.45,16708305
PYK005.A0101,43549912,21523136,93.7967125236768,54623,0.253787366302011,8128,6.72034940944882,0.0001,4,41,82.02,21468513
RIG001.A0101,58161058,26219271,96.4151978138523,141823,0.540911301462195,18168,7.8061977102598,0.0003,0,39,62.28,26077448
SPM001.A0101,17859222,8654980,39.3083519545972,4078304,47.1208945601261,415988,9.80389818937085,0.009,1790,72,47.82,4576676
SPM002.A0101,21382622,13589782,47.3034225273076,11494308,84.5805179214795,6685686,1.71924137627762,0.1749,25275,76,43.42,2095474
SpyNew,NA,NA,NA,17569,NA,1139,15.4249341527656,0,0,25,49.68,4024112
SpyOld,NA,NA,NA,428813,NA,156585,2.73853178784686,0.0039,168,74,45.23,17175527
SRR059389,58409094,45099726,17.6856196421238,838,0.001858104415091,828,1.01207729468599,0,3,30,37.1,45098888
SRR059425,58738550,36488859,50.4211244314326,283,0.000775579198023,280,1.01071428571429,0,0,30,45.4,36488576
SRR059455,59165542,36349730,54.6390000696016,203,0.000558463570431,203,1,0,0,30,52.31,36349527
SRR059917,57219606,41461174,25.838460338822,458,0.001104647929169,453,1.01103752759382,0,0,30,37.13,41460716
SRR060358,55225692,37402845,34.8105765751242,306,0.000818119584219,305,1.00327868852459,0,0,30,29.4,37402539
SRR061192,47880614,21920659,45.9482171589823,3320,0.015145530068234,3311,1.00271821202054,0.0001,1,35,38.3,21917339
SRR061294,56674010,10381260,40.1660299424155,5773,0.055609820002582,5759,1.00243097760028,0.0001,1,44,38.65,10375487
SRR061320,49161352,23530045,21.5764015750926,2651,0.011266446791751,2640,1.00416666666667,0,1,43,41.86,23527394
SRR061365,55606754,26909112,44.4723668324692,1880,0.006986481010596,1789,1.0508664058133,0,0,40,49.37,26907232
SRR061562,55054786,32961137,35.6864145796912,2250,0.006826220830914,2236,1.00626118067979,0,0,36,43.51,32958887
SRR062083,51988214,33718000,17.6001838780473,3239,0.009606145085711,3231,1.00247601361807,0,1,37,51.25,33714761
SRR062298,60673430,13970849,19.4763467846514,5755,0.041192915333921,5725,1.00524017467249,0.0001,2,42,38.26,13965094
SRR062299,59124280,6701027,15.064168522228,11093,0.165541789340649,11043,1.004527755139,0.0002,0,37,36.92,6689934
SRR063517,53358908,25967036,22.5743130636858,2669,0.010278416065661,2544,1.04913522012579,0,0,44,46.54,25964367
SRR1631060,48356624,30740748,56.3583651250126,147,0.000478192658162,147,1,0,0,31,54.77,30740601
SRR1631061,49625374,31571128,56.2382851825883,133,0.000421270978978,133,1,0,0,32,58.56,31570995
SRR1631063,54430352,34647618,56.1508182178642,181,0.000522402434707,181,1,0,0,32,54.97,34647437
SRR1631064,54756396,34889835,56.0012880542427,137,0.000392664511024,136,1.00735294117647,0,0,32,58.5,34889698
SRR1633008,27262248,19880491,36.7531214395057,52,0.000261562956368,52,1,0,0,32,66.41,19880439
SRR1761677,51851920,37323510,37.5084444094352,1274,0.003413398150388,1248,1.02083333333333,0,0,30,34.64,37322236
SRR1761682,42705628,28774192,47.2282488418789,813,0.002825448582535,794,1.02392947103275,0,6,30,34.48,28773379
SRR1761688,46249986,29901415,53.4168265949956,766,0.0025617516763,746,1.02680965147453,0,2,30,39.44,29900649
SRR1761692,48959170,31441750,54.4943745179578,1022,0.003250455206851,968,1.05578512396694,0,1,30,37.55,31440728
SRR1761697,53139708,35930529,46.4902924195745,1096,0.003050330820345,1078,1.01669758812616,0,0,30,38.12,35929433
