File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
EXB015.A2401_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	490275	251015	19705682	250998	25	51.1988169904645	51.1953495487227
EXB015.A2501_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1622112	616901	48008175	616864	61	38.0307278412341	38.0284468643349
EXB015.A2601_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1535271	547545	44076608	547484	54	35.6643875902039	35.6604143503004
EXB015.A2801_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	2086131	770885	40189103	770809	77	36.9528567477306	36.9492136399871
EXB015.A2901_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	490977	222658	17546788	222648	22	45.3499858445508	45.3479490892649
EXB020.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	81784	38681	1210478	38678	3	47.2965372199941	47.2928690208354
EXB020.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	326164	173786	4091407	173760	17	53.2817846236862	53.2738131737408
EXB021.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	73597	39789	1374272	39788	3	54.0633449733005	54.0619862222645
EXB021.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	405936	215587	4651336	215565	21	53.1086181072879	53.103198533759
EXB022.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1767632	974181	31486008	974166	97	55.1122066131412	55.1113580202214
EXB022.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	746848	483639	23338538	483629	48	64.7573535712755	64.7560146107374
EXB023.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1731519	924304	31660751	924278	92	53.3811064158118	53.3796048440704
EXB023.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	458936	260387	7362107	260374	26	56.7371049558108	56.7342723168372
EXB033.A0401_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	891364	193406	6793942	193386	19	21.6977575939796	21.6955138417078
EXB033.A0801_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	940295	488268	25011463	488229	48	51.9271079820695	51.9229603475505
EXB033.A0802_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	861868	418391	9727647	418350	41	48.5446727341078	48.5399156251305
EXB033.A1401_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	223573	31616	957484	31610	3	14.1412424577207	14.1385587705134
