Genus	Sum	Percent	Protein	Host_Genus
Bacillus	1	0.819672131147541	pc1n5nomod	Pan
Clostridium	8	6.55737704918033	pc1n5nomod	Pan
Desulfobulbus	4	3.27868852459016	pc1n5nomod	Pan
Edwardsiella	1	0.819672131147541	pc1n5nomod	Pan
Enterobacter	9	7.37704918032787	pc1n5nomod	Pan
Escherichia	1	0.819672131147541	pc1n5nomod	Pan
Megamonas	1	0.819672131147541	pc1n5nomod	Pan
Mycolicibacterium	1	0.819672131147541	pc1n5nomod	Pan
Olsenella	5	4.0983606557377	pc1n5nomod	Pan
Phytobacter	1	0.819672131147541	pc1n5nomod	Pan
Serratia	1	0.819672131147541	pc1n5nomod	Pan
Shewanella	1	0.819672131147541	pc1n5nomod	Pan
Sorangium	1	0.819672131147541	pc1n5nomod	Pan
Streptococcus	78	63.9344262295082	pc1n5nomod	Pan
Total	122	100	pc1n5nomod	Pan
[Mannheimia]	108	2.47706422018349	pc1n5nomod	Gorilla
Abiotrophia	1	0.0229357798165138	pc1n5nomod	Gorilla
Actinobacillus	40	0.917431192660551	pc1n5nomod	Gorilla
Actinomyces	5	0.114678899082569	pc1n5nomod	Gorilla
Aerococcus	7	0.160550458715596	pc1n5nomod	Gorilla
Aggregatibacter	2393	54.8853211009174	pc1n5nomod	Gorilla
Agrobacterium	4	0.0917431192660551	pc1n5nomod	Gorilla
Azospirillum	1	0.0229357798165138	pc1n5nomod	Gorilla
Bacillus	1	0.0229357798165138	pc1n5nomod	Gorilla
bacterium	1	0.0229357798165138	pc1n5nomod	Gorilla
Bibersteinia	2	0.0458715596330275	pc1n5nomod	Gorilla
Blautia	1	0.0229357798165138	pc1n5nomod	Gorilla
Cedecea	5	0.114678899082569	pc1n5nomod	Gorilla
Citrobacter	22	0.504587155963303	pc1n5nomod	Gorilla
Clostridium	8	0.18348623853211	pc1n5nomod	Gorilla
Colwellia	7	0.160550458715596	pc1n5nomod	Gorilla
Corynebacterium	1	0.0229357798165138	pc1n5nomod	Gorilla
Cronobacter	2	0.0458715596330275	pc1n5nomod	Gorilla
Desulfobulbus	1	0.0229357798165138	pc1n5nomod	Gorilla
Dickeya	4	0.0917431192660551	pc1n5nomod	Gorilla
Enterobacter	11	0.252293577981651	pc1n5nomod	Gorilla
Enterobacteriaceae	3	0.0688073394495413	pc1n5nomod	Gorilla
Erwinia	1	0.0229357798165138	pc1n5nomod	Gorilla
Escherichia	50	1.14678899082569	pc1n5nomod	Gorilla
Eubacterium	2	0.0458715596330275	pc1n5nomod	Gorilla
Faecalibaculum	1	0.0229357798165138	pc1n5nomod	Gorilla
